iter	Passed	Remaining
946	52402	2932
947	52475	2878
948	52573	2825
949	52645	2770
950	52720	2716
951	52805	2662
952	52940	2610
953	53022	2556
954	53133	2503
955	53233	2450
956	53316	2395
957	53440	2342
958	53523	2288
959	53609	2233
960	53696	2179
961	53842	2126
962	53927	2071
963	53998	2016
964	54076	1961
965	54171	1906
966	54258	1851
967	54330	1796
968	54414	1740
969	54486	1685
970	54560	1629
971	54622	1573
972	54697	1517
973	54770	1462
974	54953	1409
975	55065	1354
976	55153	1298
977	55212	1241
978	55261	1185
979	55309	1128
980	55361	1072
981	55421	1015
982	55496	959
983	55544	903
984	55619	846
985	55729	791
986	55781	734
987	55840	678
988	55925	622
989	56011	565
990	56052	509
991	56101	452
992	56142	395
993	56311	339
994	56447	283
995	56534	227
996	56624	170
997	56698	113
998	56770	56
999	56915	0
